,Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
139,Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,58.0,16h,Good,10.0,,Good,0.0,01/11/2018 17:00,1541088303
140,Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,62.0,16h,Good,9.0,,Good,0.0,01/11/2018 17:00,1541088303
141,Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,54.0,16h,Good,3.0,16h,Good,9.0,01/11/2018 17:00,1541088303
142,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,16h,Good,14.0,16h,Good,9.0,01/11/2018 17:00,1541088303
143,Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,70.0,16h,Good,3.0,17h,Good,6.0,01/11/2018 17:00,1541088303
144,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,17h,Good,14.0,,Good,0.0,01/11/2018 18:00,1541091903
145,Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,38.0,17h,Good,37.0,18h,Good,14.0,01/11/2018 18:00,1541091903
146,Barcelona - Gràcia,Good,2.1534,41.3987,17h,Good,49.0,17h,Good,21.0,,Good,0.0,01/11/2018 18:00,1541091903
147,Barcelona - Ciutadella,Good,2.1874,41.3864,17h,Good,54.0,17h,Good,16.0,,Good,0.0,01/11/2018 18:00,1541091903
148,Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,54.0,17h,Good,15.0,,Good,0.0,01/11/2018 18:00,1541091903
149,Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,54.0,17h,Good,3.0,18h,Good,9.0,01/11/2018 18:00,1541091903
150,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,17h,Good,18.0,18h,Good,8.0,01/11/2018 18:00,1541091903
151,Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,71.0,17h,Good,5.0,18h,Good,6.0,01/11/2018 18:00,1541091903
152,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,18h,Good,29.0,,Good,0.0,01/11/2018 19:00,1541095503
153,Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,38.0,17h,Good,37.0,19h,Good,13.0,01/11/2018 19:00,1541095503
